reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
21909c03-593c-4f17-91bc-e49f25ee0c29,jjungwinggum,https://play-lh.googleusercontent.com/a-/ALV-UjU-RFhGcn2Kr1TJEhSH7fz-Vvj59PiJowCG-toUwrZbXPyLeg4,sering banget keluar sendiri):,3,0,1.0.11,2023-11-07 06:05:27,,,1.0.11
be11fc6e-ab31-4ca3-9cb5-d25d03bbbfaa,Siti Mutmainnah,https://play-lh.googleusercontent.com/a/ACg8ocKlwOG-_uKAl82_5KMb0b2IwdDD-YZ9DLjR112WbF_E2PCiqQ=mo,ga bisa login fakkkk,1,0,1.0.11,2023-10-05 09:21:44,,,1.0.11
897b9caf-6a75-4afa-8c1a-e9f252cea958,Edo Anugrah Satria Pratama,https://play-lh.googleusercontent.com/a/ACg8ocKHBDerNJyL2tTV3Q37ih7oyzzR7JwOfloZRqqBS6mGsof_ng=mo,Verifikasinya gak ada. Bagaimana bisa log in?,1,0,,2023-04-04 20:16:11,,,
bdbeb341-813f-4efb-a083-f43e95dafcdd,Rahel Sitorus,https://play-lh.googleusercontent.com/a-/ALV-UjV-rGxMEgH4P9DV0HLSRSeB9MtMMpnvnypUlYOntZlwrhmm9BDs,Mau masuk akun tapi ga bisa-bisa.. tolong dibantu yaaa,1,0,1.0.5,2023-03-07 18:38:09,,,1.0.5
3c5c9c2b-2774-4a11-97ad-4f491b969970,Hendri Fathur,https://play-lh.googleusercontent.com/a/ACg8ocJEx2LeQTvh3rPPRrZ1-j3LxaAp4USpp1zn1igwuOHS_G0_IQ=mo,Login susah cuman koleksi buku banyak,3,0,,2023-03-01 18:24:16,,,
0132096e-1956-471e-a7d9-316f31ccc426,Edi Khudlori,https://play-lh.googleusercontent.com/a/ACg8ocI7-r--35hhCy9GYArU8HFQG_tuF8qFPgDMcTawDGTkCi16rQ=mo,Saya mengalami kendala masuk apk,1,0,1.0.5,2023-03-09 13:13:17,,,1.0.5
0e921305-01f2-4abc-91d7-3967da548bb7,ABAH H5H,https://play-lh.googleusercontent.com/a-/ALV-UjVWiTD8YWVIBQSDfvFE_SUWpz1waj3H8nCzUw9dycKnNZ7-wwtO,Sering log out sendiri.,1,0,1.0.9,2023-05-16 12:08:27,,,1.0.9
decdaf6b-b0f8-46f7-8da6-288dc108e723,Admin Pocadi,https://play-lh.googleusercontent.com/a/ACg8ocJfSshkG0qVSjVT8mWtTYfk_VNYQk0OAOJnGuOZHvAo9lMwMA=mo,menambah koleksi perpustakaan,5,0,,2023-09-04 13:46:27,,,
3cb46a09-0e09-4e0d-b472-120fe8b8bf6d,Abdullah Rizky,https://play-lh.googleusercontent.com/a/ACg8ocL2z4Hgn6FVlC5H4a5RKhOoBSEzs9Bu0-4p_ymU85Tj_o7xO-M=mo,Ga bisa daftar,1,0,1.0.9,2023-06-28 16:40:11,,,1.0.9
7d4c10d6-6c07-45b7-8ff0-ef2db65222f3,KBK,https://play-lh.googleusercontent.com/a-/ALV-UjXpXQJQZkchSMIWpgjxUK53kKl2cwxOVnzydcvRPxX7pp7gcQs,Aplikasinya keren,5,0,1.0.4,2023-01-19 08:32:00,,,1.0.4
